category,variable,label,measure,values,projects
Eating Disorder Behaviors,epsi_26_overweight_tight,I was disgusted by the sight of an overweight person wearing tight clothes,EATING PATHOLOGY SYMPTOMS INVENTORY,0 = never | 1 = rarely | 2 = sometimes | 3 = often | 4 = very often,"MAXED,MR21"
Eating Disorder Behaviors,epsi_27_made_vomit,I made myself vomit in order to lose weight,EATING PATHOLOGY SYMPTOMS INVENTORY,0 = never | 1 = rarely | 2 = sometimes | 3 = often | 4 = very often,"MAXED,MR21"
Eating Disorder Behaviors,epsi_28_unnotice_amount_ate,I did not notice how much I ate until after I had finished eating,EATING PATHOLOGY SYMPTOMS INVENTORY,0 = never | 1 = rarely | 2 = sometimes | 3 = often | 4 = very often,"MAXED,MR21"
Eating Disorder Behaviors,epsi_29_muscle_supplement,I considered taking a muscle building supplement,EATING PATHOLOGY SYMPTOMS INVENTORY,0 = never | 1 = rarely | 2 = sometimes | 3 = often | 4 = very often,"MAXED,MR21"
Eating Disorder Behaviors,epsi_2_exclude_unhealthy,"I tried to exclude ""unhealthy"" foods from my diet",EATING PATHOLOGY SYMPTOMS INVENTORY,0 = never | 1 = rarely | 2 = sometimes | 3 = often | 4 = very often,"MAXED,MR21"
Eating Disorder Behaviors,epsi_30_overweight_unattractive,I felt that overweight people are unattractive,EATING PATHOLOGY SYMPTOMS INVENTORY,0 = never | 1 = rarely | 2 = sometimes | 3 = often | 4 = very often,"MAXED,MR21"
Eating Disorder Behaviors,epsi_31_strenuous_exercise,I engaged in strenuous exercise at least five days per week,EATING PATHOLOGY SYMPTOMS INVENTORY,0 = never | 1 = rarely | 2 = sometimes | 3 = often | 4 = very often,"MAXED,MR21"
Eating Disorder Behaviors,epsi_32_muscles_small,I thought my muscles were too small,EATING PATHOLOGY SYMPTOMS INVENTORY,0 = never | 1 = rarely | 2 = sometimes | 3 = often | 4 = very often,"MAXED,MR21"
Eating Disorder Behaviors,epsi_33_got_full,I got full after eating what most people would consider a small amount of food,EATING PATHOLOGY SYMPTOMS INVENTORY,0 = never | 1 = rarely | 2 = sometimes | 3 = often | 4 = very often,"MAXED,MR21"
Eating Disorder Behaviors,epsi_34_unsatisfied_hips,I was not satisfied with the size of my hips,EATING PATHOLOGY SYMPTOMS INVENTORY,0 = never | 1 = rarely | 2 = sometimes | 3 = often | 4 = very often,"MAXED,MR21"
Eating Disorder Behaviors,epsi_35_protein_supplements,I used protein supplements,EATING PATHOLOGY SYMPTOMS INVENTORY,0 = never | 1 = rarely | 2 = sometimes | 3 = often | 4 = very often,"MAXED,MR21"
Eating Disorder Behaviors,epsi_36_encouraged_eat_more,People encouraged me to eat more,EATING PATHOLOGY SYMPTOMS INVENTORY,0 = never | 1 = rarely | 2 = sometimes | 3 = often | 4 = very often,"MAXED,MR21"
Eating Disorder Behaviors,epsi_37_not_resist,"If someone offered me food, I felt that I could not resist eating it",EATING PATHOLOGY SYMPTOMS INVENTORY,0 = never | 1 = rarely | 2 = sometimes | 3 = often | 4 = very often,"MAXED,MR21"
Eating Disorder Behaviors,epsi_38_digusted_obesity,I was disgusted by the sight of obese people,EATING PATHOLOGY SYMPTOMS INVENTORY,0 = never | 1 = rarely | 2 = sometimes | 3 = often | 4 = very often,"MAXED,MR21"
Eating Disorder Behaviors,epsi_39_stuffed,I stuffed myself with food to the point of feeling sick,EATING PATHOLOGY SYMPTOMS INVENTORY,0 = never | 1 = rarely | 2 = sometimes | 3 = often | 4 = very often,"MAXED,MR21"
Eating Disorder Behaviors,epsi_3_ate_not_hungry,I ate when I was not hungry,EATING PATHOLOGY SYMPTOMS INVENTORY,0 = never | 1 = rarely | 2 = sometimes | 3 = often | 4 = very often,"MAXED,MR21"
Eating Disorder Behaviors,epsi_40_avoid_calories,I tried to avoid foods with high calorie content,EATING PATHOLOGY SYMPTOMS INVENTORY,0 = never | 1 = rarely | 2 = sometimes | 3 = often | 4 = very often,"MAXED,MR21"
Eating Disorder Behaviors,epsi_41_exercised_exhaustion,I exercised to the point of exhaustion,EATING PATHOLOGY SYMPTOMS INVENTORY,0 = never | 1 = rarely | 2 = sometimes | 3 = often | 4 = very often,"MAXED,MR21"
Eating Disorder Behaviors,epsi_42_diuretics,I used diuretics in order to lose weight,EATING PATHOLOGY SYMPTOMS INVENTORY,0 = never | 1 = rarely | 2 = sometimes | 3 = often | 4 = very often,"MAXED,MR21"
Eating Disorder Behaviors,epsi_43_skip_2_meals,I skipped two meals in a row,EATING PATHOLOGY SYMPTOMS INVENTORY,0 = never | 1 = rarely | 2 = sometimes | 3 = often | 4 = very often,"MAXED,MR21"
Eating Disorder Behaviors,epsi_44_auto_pilot,I ate as if I was on auto-pilot,EATING PATHOLOGY SYMPTOMS INVENTORY,0 = never | 1 = rarely | 2 = sometimes | 3 = often | 4 = very often,"MAXED,MR21"
Eating Disorder Behaviors,epsi_45_food_short_time,"I ate a very large amount of food in a short period of time (e.g., within 2 hours)",EATING PATHOLOGY SYMPTOMS INVENTORY,0 = never | 1 = rarely | 2 = sometimes | 3 = often | 4 = very often,"MAXED,MR21"
Eating Disorder Behaviors,epsi_4_dont_eat_alot,People told me that I do not eat very much,EATING PATHOLOGY SYMPTOMS INVENTORY,0 = never | 1 = rarely | 2 = sometimes | 3 = often | 4 = very often,"MAXED,MR21"
Eating Disorder Behaviors,epsi_5_exercise_alot,I felt that I needed to exercise nearly every day,EATING PATHOLOGY SYMPTOMS INVENTORY,0 = never | 1 = rarely | 2 = sometimes | 3 = often | 4 = very often,"MAXED,MR21"
Eating Disorder Behaviors,epsi_6_surprised_little,People would be surprised if they knew how little I ate,EATING PATHOLOGY SYMPTOMS INVENTORY,0 = never | 1 = rarely | 2 = sometimes | 3 = often | 4 = very often,"MAXED,MR21"
Eating Disorder Behaviors,epsi_7_muscle_building,I used muscle building supplements,EATING PATHOLOGY SYMPTOMS INVENTORY,0 = never | 1 = rarely | 2 = sometimes | 3 = often | 4 = very often,"MAXED,MR21"
Eating Disorder Behaviors,epsi_8_push_myself,I pushed myself extremely hard when I exercised,EATING PATHOLOGY SYMPTOMS INVENTORY,0 = never | 1 = rarely | 2 = sometimes | 3 = often | 4 = very often,"MAXED,MR21"
Eating Disorder Behaviors,epsi_9_snack,I snacked throughout the evening without realizing it,EATING PATHOLOGY SYMPTOMS INVENTORY,0 = never | 1 = rarely | 2 = sometimes | 3 = often | 4 = very often,"MAXED,MR21"
Eating Disorder Behaviors,epsi_binge,EPSI Sum of binge eating scores | weighted sum of epsi body dissatisfaction with 25% or less missin,EATING PATHOLOGY SYMPTOMS INVENTORY,,"MAXED,MR21"
Eating Disorder Behaviors,epsi_binge_raw,EPSI Sum of binge eating scores,EATING PATHOLOGY SYMPTOMS INVENTORY,,MAXED
Eating Disorder Behaviors,epsi_body_dissatisfaction,EPSI Sum of body dissatisfaction scores | weighted sum of epsi body dissatisfaction with 25% or less missin,EATING PATHOLOGY SYMPTOMS INVENTORY,,"MAXED,MR21"
Eating Disorder Behaviors,epsi_body_dissatisfaction_raw,EPSI Sum of body dissatisfaction scores,EATING PATHOLOGY SYMPTOMS INVENTORY,,MAXED
Eating Disorder Behaviors,epsi_exercise,EPSI Sum of excessive exercise scores | weighted sum of epsi body dissatisfaction with 25% or less missin,EATING PATHOLOGY SYMPTOMS INVENTORY,,"MAXED,MR21"
Eating Disorder Behaviors,epsi_exercise_raw,EPSI Sum of excessive exercise scores,EATING PATHOLOGY SYMPTOMS INVENTORY,,MAXED
Eating Disorder Behaviors,epsi_muscle_build,EPSI Sum of muscle building scores | weighted sum of epsi body dissatisfaction with 25% or less missin,EATING PATHOLOGY SYMPTOMS INVENTORY,,"MAXED,MR21"
Eating Disorder Behaviors,epsi_muscle_build_raw,EPSI Sum of muscle building scores,EATING PATHOLOGY SYMPTOMS INVENTORY,,MAXED
Eating Disorder Behaviors,epsi_neg_obese,EPSI Sum of negative attitude towards obesity scores | weighted sum of epsi body dissatisfaction with 25% or less missin,EATING PATHOLOGY SYMPTOMS INVENTORY,,"MAXED,MR21"
Eating Disorder Behaviors,epsi_neg_obese_raw,EPSI Sum of negative attitude towards obesity scores,EATING PATHOLOGY SYMPTOMS INVENTORY,,MAXED
Eating Disorder Behaviors,epsi_purging,EPSI Sum of purging scores | weighted sum of epsi body dissatisfaction with 25% or less missin,EATING PATHOLOGY SYMPTOMS INVENTORY,,"MAXED,MR21"
Eating Disorder Behaviors,epsi_purging_raw,EPSI Sum of purging scores,EATING PATHOLOGY SYMPTOMS INVENTORY,,MAXED
Eating Disorder Behaviors,epsi_restraint,EPSI Sum of cogintive restraint scores | weighted sum of epsi body dissatisfaction with 25% or less missin,EATING PATHOLOGY SYMPTOMS INVENTORY,,"MAXED,MR21"
Eating Disorder Behaviors,epsi_restraint_raw,EPSI Sum of cogintive restraint scores,EATING PATHOLOGY SYMPTOMS INVENTORY,,MAXED
Eating Disorder Behaviors,epsi_restrict,EPSI Sum of restricting scores | weighted sum of epsi body dissatisfaction with 25% or less missin,EATING PATHOLOGY SYMPTOMS INVENTORY,,"MAXED,MR21"
Eating Disorder Behaviors,epsi_restrict_raw,EPSI Sum of restricting scores,EATING PATHOLOGY SYMPTOMS INVENTORY,,MAXED
Eating Disorder Behaviors,binging_low_weight,"<div class=""rich-text-field-label""><p>BED HISTORY Step 2:</p> <p>HISTORY of binge eating but NOT during a period of significant weight loss (a or b) met:</p> <p><span style=""font-weight: normal;"">a) No history of low weight</span></p> <p><span style=""font-weight: normal;"">b) Binge eating did not occur during the time of low weight</span></p></div>",ED 100K PLUS,,POWERED
Eating Disorder Behaviors,bn_no_purge_cur_c4,Weekly non-purging CURRENT met:,ED 100K PLUS,,POWERED
Eating Disorder Behaviors,bn_no_purge_hist_c4,Weekly non-purging HISTORY met:,ED 100K PLUS,,POWERED
Eating Disorder Behaviors,bn_purge_cur_c4,Weekly Purging CURRENT met:,ED 100K PLUS,,POWERED
Eating Disorder Behaviors,bn_purge_hist_c4,Weekly Purging HISTORY met:,ED 100K PLUS,,POWERED
Eating Disorder Behaviors,cur_binge_eat_only,"<div class=""rich-text-field-label""><p>BED CURRENT Step 2 (a and b) met:<br><span style=""font-weight: normal;"">a) Does not currently meet a low weight</span></p> <p><span style=""font-weight: normal;"">b) Does not currently engage in compensatory behaviors</span></p></div>",ED 100K PLUS,,POWERED
Eating Disorder Behaviors,cur_wt_sh_concern,Self-evaluation is unduly influenced by body shape and weight CURRENT criteria met,ED 100K PLUS,,POWERED
Eating Disorder Behaviors,dcf_current_height_plus,How old were you when you reached your current height?,ED 100K PLUS,,POWERED
Eating Disorder Behaviors,dcf_hi_wt_long_plus,How long participant was at their highest ever weight (days),ED 100K PLUS,,POWERED
Eating Disorder Behaviors,dcf_weight_happen_explain_plus,Explain...,ED 100K PLUS,,POWERED
Eating Disorder Behaviors,dcf_weight_happen_plus,"Was there anything that happened before your highest weight that contributed to weight gain (e.g., a sports injury)?",ED 100K PLUS,,POWERED
Eating Disorder Behaviors,dcf_weight_maintain_first_plus,"When were you FIRST at that weight? _x000D_
(If unsure, please provide your best guess. The day of the month does not matter.)",ED 100K PLUS,,POWERED
Eating Disorder Behaviors,dcf_weight_maintain_last_plus,"When were you LAST at that weight? _x000D_
(If unsure, please provide your best guess. The day of the month does not matter.)",ED 100K PLUS,,POWERED
Eating Disorder Behaviors,dcf_weight_maintained_plus,What is the weight that your body has maintained for the longest period of time at your current height?,ED 100K PLUS,,POWERED
Eating Disorder Behaviors,dcf_weight_settle_plus,Has there been a weight that your body 'settles on' or comes back to?,ED 100K PLUS,,POWERED
Eating Disorder Behaviors,dcf_weight_settle_weight_plus,What is that weight?,ED 100K PLUS,,POWERED
Eating Disorder Behaviors,dx_an_current_fem_plus,"<div class=""rich-text-field-label""><p><span style=""color: rgb(224, 62, 45);"">Current Anorexia Nervosa diagnosis (females)</span></p></div>",ED 100K PLUS,,POWERED
Eating Disorder Behaviors,dx_an_history_fem_plus,"<div class=""rich-text-field-label""><p><span style=""color: rgb(224, 62, 45);"">History of Anorexia Nervosa diagnosis (females)</span></p></div>",ED 100K PLUS,,POWERED
Eating Disorder Behaviors,dx_atyp_an_current_plus,"<div class=""rich-text-field-label""><p><span style=""color: rgb(224, 62, 45);"">Current Atypical Anorexia Nervosa (all criteria) diagnosis</span></p></div>",ED 100K PLUS,,POWERED
Eating Disorder Behaviors,dx_atyp_an_history_plus,"<div class=""rich-text-field-label""><p><span style=""color: rgb(224, 62, 45);"">History of Atypical Anorexia Nervosa (all criteria) diagnosis</span></p></div>",ED 100K PLUS,,POWERED
Eating Disorder Behaviors,dx_atyp_an_nowt_current_plus_2,"<div class=""rich-text-field-label""><p><span style=""color: rgb(224, 62, 45);"">Current Atypical Anorexia Nervosa (so significant weight loss) diagnosis</span></p></div>",ED 100K PLUS,,POWERED
Eating Disorder Behaviors,dx_atyp_an_nowt_history_plus,"<div class=""rich-text-field-label""><p><span style=""color: rgb(224, 62, 45);"">History of Atypical Anorexia Nervosa (no significant weight loss) diagnosis</span></p></div>",ED 100K PLUS,,POWERED
Eating Disorder Behaviors,dx_bed_current_plus,"<div class=""rich-text-field-label""><p><span style=""color: rgb(224, 62, 45);"">Current Binge Eating Disorder diagnosis</span></p></div>",ED 100K PLUS,,POWERED
Eating Disorder Behaviors,dx_bed_history_plus,"<div class=""rich-text-field-label""><p><span style=""color: rgb(224, 62, 45);"">History of Binge Eating Disorder diagnosis</span></p></div>",ED 100K PLUS,,POWERED
Eating Disorder Behaviors,dx_bn_current_plus,"<div class=""rich-text-field-label""><p><span style=""color: rgb(224, 62, 45);"">Current Bulimia Nervosa (purging) diagnosis</span></p></div>",ED 100K PLUS,,POWERED
Eating Disorder Behaviors,dx_bn_history_plus,"<div class=""rich-text-field-label""><p><span style=""color: rgb(224, 62, 45);"">History of Bulimia Nervosa (purging) diagnosis</span></p></div>",ED 100K PLUS,,POWERED
Eating Disorder Behaviors,dx_bn_nopurge_cur_plus,"<div class=""rich-text-field-label""><p><span style=""color: rgb(224, 62, 45);"">Current Bulimia Nervosa (no purging) diagnosis</span></p></div>",ED 100K PLUS,,POWERED
Eating Disorder Behaviors,dx_bn_nopurge_hist_plus,"<div class=""rich-text-field-label""><p><span style=""color: rgb(224, 62, 45);"">History of Bulimia Nervosa (no purging) diagnosis</span></p></div>",ED 100K PLUS,,POWERED
Eating Disorder Behaviors,dx_purging_current_plus,"<div class=""rich-text-field-label""><p><span style=""color: rgb(224, 62, 45);"">Current Purging Disorder diagnosis</span></p></div>",ED 100K PLUS,,POWERED
Eating Disorder Behaviors,dx_purging_history_plus,"<div class=""rich-text-field-label""><p><span style=""color: rgb(224, 62, 45);"">History of Purging Disorder diagnosis</span></p></div>",ED 100K PLUS,,POWERED
Eating Disorder Behaviors,dx_sub_bed_current_plus,"<div class=""rich-text-field-label""><p><span style=""color: rgb(224, 62, 45);"">Current Sub-clinical Binge Eating Disorder diagnosis</span></p></div>",ED 100K PLUS,,POWERED
Eating Disorder Behaviors,dx_sub_bed_history_plus,"<div class=""rich-text-field-label""><p><span style=""color: rgb(224, 62, 45);"">History of Sub-clinical Binge Eating Disorder diagnosis</span></p></div>",ED 100K PLUS,,POWERED
Eating Disorder Behaviors,dx_sub_bn_current_plus,"<div class=""rich-text-field-label""><p><span style=""color: rgb(224, 62, 45);"">Current Sub-clinical BN diagnosis</span></p></div>",ED 100K PLUS,,POWERED
Eating Disorder Behaviors,dx_sub_bn_history_plus,"<div class=""rich-text-field-label""><p><span style=""color: rgb(224, 62, 45);"">History of Sub-clinical BN diagnosis</span></p></div>",ED 100K PLUS,,POWERED
Eating Disorder Behaviors,dx_sub_bn_nodis_history_plus,"<div class=""rich-text-field-label""><p><span style=""color: rgb(224, 62, 45);"">History of Sub-clinical BN NO DISTRESS diagnosis</span></p></div>",ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_afraid_gain_no_restrict_plus,"During the time when you were deliberately trying to limit the amount of food you were eating to influence your shape or weight on most days in a month, how afraid were you that you might gain weight or become fat?",ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_afraid_gain_plus,"During the time when you were at this low weight, how afraid were you that you might gain weight or become fat?",ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_age_hitwt_plus,How old were you when you were at your highest weight? (Years),ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_age_nomen_plus,How old were you when your periods stopped? (Years),ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_an_bmi_plus,AN BMI,ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_an_dur_1_plus,How long were you at this low weight?,ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_an_dur_2_plus,How many years?,ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_be_agefirst_plus,How old were you when you began having regular episodes of binge eating?,ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_be_agelast_plus,How old were you when you last had a binge-eating episode?,ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_be_alone_plus,Eat alone because you were embarrassed by how much you were eating?,ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_be_be_guilt_plus,"Feel disgusted with yourself, depressed, or very guilty after overeating?",ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_be_control_plus,"When you were having regularly occurring episodes of binge eating or overeating, _x000D_
did you feel that your eating was out of control such that you felt you could not stop eating or _x000D_
that you could not control what or how much you were eating?",ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_be_current_plus,Have you experienced episodes of binge eating (feeling a lack of control over your eating and eating more than what most people would eat in a 2 hour period)  in the PAST 3 MONTHS?,ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_be_depend_cur_plus,"As you currently engage in binge eating behaviors, how dependent is your self-worth on your body shape or weight?",ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_be_depend_past_plus,"When you were experiencing regular binge eating IN THE PAST, how dependent was your self-worth on your body shape or weight?",ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_be_eatfast_plus,Eat much more rapidly than normal?,ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_be_full_plus,Eat until you felt uncomfortably full?,ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_be_icb_plus,"Have you ever used any of the following to compensate for episodes of binge eating or_x000D_
overeating?",ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_be_icbsame_plus,"Did the binge eating and compensatory behaviors occur at the same time, on_x000D_
average, once a week for 3 months?",ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_be_no_purge_cur_plus,"Have you experienced binge-eating episodes AND engaged in the non-puring compensatory behavior(s), such as fasting or excessive exercising, at least once a week for the past 3 months?",ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_be_no_purge_plus,"Have you had periods of time that lasted three months or more when you had binge-_x000D_
eating episodes AND engaged in non-purging compensatory behaviors, such as fasting or excessive exercise?",ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_be_nohunger_plus,Eat large amounts of food when you didn't feel physically hungry?,ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_be_noicb_plus,"Was there ever a time when you made yourself vomit, used laxatives, or used diuretics,_x000D_
on average, at least once a week for 3 months when you were NOT binge eating?",ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_be_onlylowt_plus,Have you had periods of binge eating while NOT at a low weight?,ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_be_withicb_cur_plus,"Have you experienced binge-eating episodes AND engaged in the compensatory behavior(s), such as self-induced vomiting, or laxative/diuretic use at least once a week for the past 3 months?",ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_be_withicb_plus,"Have you had periods of time that lasted three months or more when you had binge-_x000D_
eating episodes AND engaged in the compensatory behavior(s), such as self-induced vomiting, laxative/diuretic use, or used diet pills?",ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_bigbody_plus,"During the time when you were at this low weight, did you ever experience your body or parts of your body to be larger than they actually were or than other people thought they were?",ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_bmiz_fem_cur_plus,"<div class=""rich-text-field-label""><p>Current Low Weight Step 1)<br><span style=""font-weight: normal;"">CURRENT BMIz -1 when younger than 19 for GIRLS</span><br><span style=""font-weight: normal;"">(using WHO data from can.who.int : growth reference from 5-19 years)</span></p></div>",ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_bmiz_fem_hist_plus,"<div class=""rich-text-field-label""><p>History Low Weight Step 1)<br><span style=""font-weight: normal;"">HISTORY BMIz -1 when younger than 19 for GIRLS</span><br><span style=""font-weight: normal;"">(using WHO data from can.who.int : growth reference from 5-19 years)</span></p></div>",ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_comp_ex_age_plus,How old were you when you engaged in more intense exercise specifically to counteract the effects of overeating for the first time?,ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_comp_ex_dur_plus,For what period of time did you engage in more intense exercise specifically to counteract the effects of overeating?,ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_comp_ex_freq_plus,"During these periods, how often did you engage in more intense exercise specifically to counteract the effects of overeating?",ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_compul_eat_plus,Have there ever been times when you have eaten what other people would regard as an unusually large amount of food given the circumstances within a 2-hour period?,ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_cur_be_distress_plus,How distressed does binge eating currently make you feel?,ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_currentbmi_plus,Current BMI,ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_dex_cur_label_plus,Current Driven Exercise,ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_dietpills_plus,Used diet pills,ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_dp_age_last_plus,How old were you when you stopped using diet pills?,ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_dp_age_plus,How old were you when you used diet pills for the first time?,ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_dp_dur_plus,For how long were you using diet pills?,ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_dp_freq_plus,"During these periods, how often did you usually use diet pills in a week?",ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_driv_ex_age_plus,How old were you when you first engaged in driven exercise to control your shape or weight?,ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_driv_ex_dur_plus,For what period of time did you engage in driven exercise to control your shape or weight?,ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_driv_ex_freq_plus,"During these periods, how often did you engage in exercise to control shape or weight?",ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_ex_compel_plus,Feeling compelled to exercise (like you had to do it) to control your body shape or weight?,ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_ex_current_plus,Have you engaged in driven exercise to control weight or shape in the PAST 3 MONTHS?,ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_ex_diet_plus,Modifying your diet/eating habits if you were unable to exercise for any reason?,ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_ex_distress_plus,Feeling uneasy or distressed if unable to exercise?,ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_ex_friend_plus,Declining opportunities to be with friends in order to exercise?,ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_ex_ill_plus,Exercising despite an injury or illness that would have prevented others from exercising?,ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_exercise_plus,Engaged in more intense exercise specifically to counteract the effects of overeating,ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_fast_age_last_plus,How old were you when you stopped fasting?,ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_fast_age_plus,How old were you when you fasted for the first time?,ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_fast_current_plus,Have you engaged in fasting to prevent weight gain in the PAST 3 MONTHS?,ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_fast_dur_plus,For what period of time did you engage in periods of fasting?,ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_fast_freq_plus,"During these periods, how often did you usually fast in a week?",ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_fast_plus,Fasted (skipped at least two meals in a row),ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_feel_fat_plus,"During the time when you were at this low weight, did you still feel fat?",ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_had_mens_plus,"Before this time, had your periods already started?",ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_height_high_plus,How tall were you then?,ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_height_plus,How tall are you now?,ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_hi_an_bmi_plus,Difference between highest and AN BMI,ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_hi_an_wt_plus,Difference between highest and AN weight,ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_high_bmi_plus,Highest Past BMI,ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_hist_be_distress_plus,"When you were experiencing regular binge eating IN THE PAST, how distressed did binge eating usually make you feel?",ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_hist_diet_pills_plus,History of Diet Pills,ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_icb_lowt_plus,"During the period of time when you were at your lowest weight, did you use any of the following as a way to control your weight or shape? (Mark all that apply).",ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_icb_no_lowt_plus,"Was there ever a time when you made yourself vomit, used laxatives or diuretics, or used diet pills on average, at least once a week for 3 months when you were NOT at low weight?",ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_illness_plus,What was the illness?,ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_lax_diur_age_plus,How old were you when you used laxatives and/or diuretics for the first time?,ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_lax_diur_current_plus,Have you used laxatives or diuretics to prevent weight gain in the PAST 3 MONTHS?,ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_lax_diur_dur_plus,For how long were you using laxatives and/or diuretics?,ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_lax_diur_freq_plus,"During these periods, how often did you usually use laxatives and/or diuretics in a week?",ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_lax_diur_last_age_plus,How old were you when you stopped using laxatives and/or diuretics?,ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_laxatives_diur_plus,Used laxatives or diuretics,ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_lbs_kg_plus,"The following section will ask about how your weight has changed over the years. For this section, you can report in either pounds or kilograms. Will you be answering in pounds or kilograms?",ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_lowestadultbmi_plus,Lowest Adult BMI,ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_negconseq_plus,Did you ever think your low weight had negative consequences for your health?,ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_no_purge_time_plus,"Did the binge eating and non-purging compensatory behaviors occur at the same time, on_x000D_
average, once a week for 3 months?",ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_nomen_dur_1_plus,For how long did your periods stop?,ED 100K PLUS,,POWERED
Eating Disorder Behaviors,ed100k_nomen_dur_2_plus,Number of years that your period had stopped?,ED 100K PLUS,,POWERED
